                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.18746,                0.17401,                0.76088,                0.72789,                   0.66,                0.74297,                0.65552,                0.57744,                 1.1174,                0.85113,             0.00029723,             0.00029723,             0.00029723
                     82,                0.17566,                0.16864,                0.75936,                0.68369,                 0.7201,                0.74815,                0.66296,                0.55253,                 1.0885,                0.84425,             0.00028308,             0.00028308,             0.00028308
                     83,                0.15882,                0.15972,                0.75817,                 0.6948,                0.71077,                0.74677,                0.66392,                 0.5545,                 1.1022,                0.84439,             0.00026894,             0.00026894,             0.00026894
                     84,                0.17844,                0.16698,                0.75842,                0.70058,                0.67208,                0.73437,                0.64572,                0.58317,                 1.1214,                0.85134,             0.00025479,             0.00025479,             0.00025479
                     85,                0.16739,                0.15662,                0.75848,                0.70777,                 0.6883,                0.74211,                0.65753,                0.55967,                 1.1073,                0.84655,             0.00024064,             0.00024064,             0.00024064
                     86,                0.16457,                0.15739,                0.75783,                0.69908,                0.69327,                0.74132,                0.65489,                  0.566,                 1.1254,                0.84846,              0.0002265,              0.0002265,              0.0002265
                     87,                0.13661,                0.14231,                0.75619,                0.69257,                0.71301,                0.74524,                0.66173,                0.55744,                 1.1031,                0.84572,             0.00021235,             0.00021235,             0.00021235
                     88,                0.12319,                0.13063,                0.75585,                0.71711,                0.66249,                0.73521,                0.65513,                 0.5546,                 1.1439,                0.84539,              0.0001982,              0.0001982,              0.0001982
                     89,                0.12068,                0.12757,                0.75527,                0.68381,                0.69141,                0.73648,                0.65256,                0.55501,                 1.1493,                 0.8471,             0.00018406,             0.00018406,             0.00018406
                     90,                0.11287,                 0.1242,                0.75555,                 0.6854,                0.71554,                0.74381,                0.66152,                0.55298,                  1.127,                0.84585,             0.00016991,             0.00016991,             0.00016991
                     91,                0.10783,                0.12004,                0.75445,                0.69816,                0.68964,                0.73767,                  0.656,                0.55155,                 1.1372,                0.84457,             0.00015576,             0.00015576,             0.00015576
                     92,                0.11043,                0.11994,                0.75523,                0.69326,                0.69798,                0.73973,                0.65523,                0.55851,                 1.1403,                0.84764,             0.00014161,             0.00014161,             0.00014161
                     93,                0.09767,                0.11221,                0.75392,                0.70544,                 0.6722,                0.73334,                0.65528,                0.55119,                 1.1607,                0.84696,             0.00012747,             0.00012747,             0.00012747
                     94,                0.09385,                0.10961,                0.75399,                0.67488,                0.72385,                0.74675,                0.66254,                0.55185,                 1.1338,                0.84597,             0.00011332,             0.00011332,             0.00011332
                     95,                0.08728,                0.10355,                0.75365,                0.67491,                0.72366,                0.74115,                0.65986,                0.55062,                 1.1528,                0.84565,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.08388,                0.10137,                0.75345,                0.69346,                 0.6949,                 0.7426,                 0.6625,                0.54814,                 1.1508,                0.84581,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.08116,                0.09932,                0.75327,                0.68054,                0.69797,                0.73964,                0.65787,                0.55224,                 1.1679,                0.84657,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.0781,                0.09629,                0.75307,                0.68893,                0.72298,                0.74707,                0.66367,                0.54814,                 1.1403,                0.84481,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.07343,                0.09334,                0.75294,                0.68212,                0.72023,                0.74505,                0.66262,                0.54884,                 1.1556,                0.84478,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.07113,                0.09094,                0.75292,                0.68504,                0.69729,                0.74207,                0.66053,                0.54927,                 1.1631,                0.84605,             2.8437e-05,             2.8437e-05,             2.8437e-05
