epoch ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   44 ,       0.56985 ,       0.55515 ,       0.89628 ,             0.84758 ,          0.86476 ,         0.90593 ,            0.75863 ,     0.68744 ,     0.62008 ,     0.90569 ,0.00082067 ,0.00082067 ,0.00082067
   45 ,       0.59026 ,       0.56192 ,       0.89789 ,             0.78297 ,          0.79206 ,         0.83988 ,            0.70522 ,     0.73303 ,     0.87316 ,     0.93542 ,0.00080653 ,0.00080653 ,0.00080653
   46 ,       0.62953 ,       0.5609  ,       0.91297 ,             0.78858 ,          0.84745 ,         0.87431 ,            0.76688 ,     0.55769 ,     0.66102 ,     0.86165 ,0.00079238 ,0.00079238 ,0.00079238
   47 ,       0.60597 ,       0.53766 ,       0.91057 ,             0.75082 ,          0.76485 ,         0.82031 ,            0.68489 ,     0.7469  ,     1.0119  ,     0.92329 ,0.00077823 ,0.00077823 ,0.00077823
   48 ,       0.54253 ,       0.51643 ,       0.88682 ,             0.84425 ,          0.86552 ,         0.91767 ,            0.75678 ,     0.72233 ,     0.58509 ,     0.90052 ,0.00076409 ,0.00076409 ,0.00076409
   49 ,       0.55857 ,       0.52905 ,       0.8952  ,             0.84516 ,          0.88615 ,         0.91277 ,            0.74248 ,     0.75761 ,     0.54732 ,     0.91125 ,0.00074994 ,0.00074994 ,0.00074994
   50 ,       0.5381  ,       0.52725 ,       0.88129 ,             0.82371 ,          0.78547 ,         0.84801 ,            0.69291 ,     0.83322 ,     0.8612  ,     0.97278 ,0.00073579 ,0.00073579 ,0.00073579
   51 ,       0.55307 ,       0.53591 ,       0.88871 ,             0.81787 ,          0.83917 ,         0.89111 ,            0.75805 ,     0.68733 ,     0.71747 ,     0.91357 ,0.00072164 ,0.00072164 ,0.00072164
   52 ,       0.56648 ,       0.52581 ,       0.89421 ,             0.83794 ,          0.83957 ,         0.88269 ,            0.77661 ,     0.56178 ,     0.58995 ,     0.86646 ,0.0007075  ,0.0007075  ,0.0007075
   53 ,       0.56626 ,       0.51456 ,       0.90081 ,             0.8674  ,          0.82443 ,         0.8841  ,            0.78941 ,     0.52149 ,     0.57143 ,     0.85072 ,0.00069335 ,0.00069335 ,0.00069335
