                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.67558,                0.55605,                  0.945,                0.73859,                0.68782,                0.74475,                0.61556,                 0.8068,                 1.3109,                0.96094,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.6501,                0.52483,                0.93768,                0.74997,                0.82783,                0.81435,                0.71315,                0.58219,                0.75713,                 0.8796,             0.00073579,             0.00073579,             0.00073579
                     51,                0.64294,                0.53441,                0.93639,                0.75148,                0.83478,                 0.8515,                0.74962,                0.57262,                0.68862,                0.86641,             0.00072164,             0.00072164,             0.00072164
                     52,                 0.6335,                0.51722,                0.92954,                 0.7759,                0.82301,                0.85605,                0.72923,                0.67637,                0.71094,                0.90143,              0.0007075,              0.0007075,              0.0007075
                     53,                0.61589,                0.51369,                0.93319,                0.84754,                0.81626,                0.87501,                0.76967,                0.55908,                0.60482,                 0.8632,             0.00069335,             0.00069335,             0.00069335
                     54,                0.62845,                0.52612,                0.93038,                0.84513,                0.83659,                0.89955,                0.77318,                0.62386,                0.56493,                0.88152,              0.0006792,              0.0006792,              0.0006792
                     55,                0.64169,                 0.5318,                0.93257,                0.75194,                0.81813,                0.84163,                0.73279,                0.61731,                0.71549,                0.88844,             0.00066506,             0.00066506,             0.00066506
                     56,                0.62137,                0.51052,                0.91815,                0.78827,                0.77141,                0.82656,                0.71823,                0.65843,                0.85814,                 0.9033,             0.00065091,             0.00065091,             0.00065091
                     57,                0.60424,                0.49578,                0.92778,                0.79371,                0.82882,                0.86793,                0.76217,                0.58426,                0.68684,                  0.877,             0.00063676,             0.00063676,             0.00063676
                     58,                0.59386,                0.49357,                0.92084,                0.75923,                0.87815,                0.88376,                0.76374,                0.59629,                0.56701,                0.87238,             0.00062262,             0.00062262,             0.00062262
                     59,                0.58754,                0.49462,                0.91395,                 0.7676,                0.84781,                0.89481,                0.77669,                0.59033,                0.63513,                 0.8721,             0.00060847,             0.00060847,             0.00060847
                     60,                0.57272,                0.49414,                0.91104,                0.80227,                0.86065,                 0.8869,                0.76309,                0.61678,                0.56592,                0.87455,             0.00059432,             0.00059432,             0.00059432
                     61,                0.58414,                0.49619,                0.92053,                0.80482,                0.83013,                0.88757,                0.76693,                0.63109,                0.63217,                0.89041,             0.00058017,             0.00058017,             0.00058017
                     62,                0.62665,                0.51905,                0.91935,                0.74311,                0.78482,                0.80093,                0.66522,                0.78946,                0.93278,                0.95665,             0.00056603,             0.00056603,             0.00056603
                     63,                0.59565,                0.47578,                0.91176,                0.75835,                  0.841,                 0.8569,                0.72932,                0.66153,                0.64997,                0.90165,             0.00055188,             0.00055188,             0.00055188
                     64,                0.60683,                0.47757,                0.92564,                0.78775,                0.85424,                0.87779,                0.78365,                0.54538,                0.64016,                 0.8594,             0.00053773,             0.00053773,             0.00053773
                     65,                0.58446,                0.45892,                0.90401,                0.82601,                0.85781,                0.89511,                0.80108,                0.52236,                0.54311,                0.85265,             0.00052359,             0.00052359,             0.00052359
                     66,                0.58622,                0.46898,                0.90697,                0.78833,                 0.8646,                0.88578,                0.78968,                0.52924,                0.56977,                0.85431,             0.00050944,             0.00050944,             0.00050944
                     67,                0.56152,                0.45063,                0.90255,                0.78541,                0.87282,                0.86761,                0.72598,                0.68847,                0.61557,                0.89691,             0.00049529,             0.00049529,             0.00049529
                     68,                0.56183,                0.45894,                0.89818,                0.78143,                0.88561,                0.90106,                0.77795,                0.59776,                0.56235,                0.86638,             0.00048114,             0.00048114,             0.00048114
                     69,                0.54954,                0.44156,                0.88828,                0.86133,                0.82308,                0.88514,                0.78339,                0.53482,                0.59073,                0.85191,               0.000467,               0.000467,               0.000467
                     70,                0.55961,                0.44523,                0.89746,                0.83659,                0.85692,                0.88914,                0.77058,                0.60638,                0.57466,                0.87746,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.5453,                0.45789,                0.89748,                0.81473,                0.90088,                0.91206,                0.78704,                0.60206,                0.50979,                0.86976,              0.0004387,              0.0004387,              0.0004387
                     72,                0.54954,                0.46009,                0.90107,                0.84623,                 0.8216,                0.88997,                0.78951,                0.55338,                0.56284,                0.86396,             0.00042456,             0.00042456,             0.00042456
                     73,                0.55464,                0.44803,                 0.9001,                0.80153,                0.87124,                0.89244,                0.79427,                0.52137,                0.54101,                0.84855,             0.00041041,             0.00041041,             0.00041041
                     74,                0.55144,                0.46017,                0.90261,                0.80369,                0.86389,                 0.8849,                0.77796,                0.57013,                0.57478,                0.85997,             0.00039626,             0.00039626,             0.00039626
                     75,                0.54688,                0.44053,                 0.9011,                0.87268,                0.86678,                0.91611,                0.81944,                0.52235,                0.48352,                0.84938,             0.00038211,             0.00038211,             0.00038211
                     76,                0.54853,                0.42789,                 0.8915,                0.82341,                0.84171,                0.88246,                0.76487,                0.65515,                0.68972,                0.90441,             0.00036797,             0.00036797,             0.00036797
                     77,                0.55967,                0.42783,                0.90873,                0.83328,                 0.8864,                0.91638,                0.82446,                0.50193,                0.49113,                0.84318,             0.00035382,             0.00035382,             0.00035382
                     78,                0.54064,                0.40583,                0.89457,                0.81302,                0.88015,                0.90032,                0.79342,                0.55983,                0.54853,                0.86054,             0.00033967,             0.00033967,             0.00033967
                     79,                0.53326,                0.42123,                0.89119,                0.83672,                0.86348,                0.88935,                0.78941,                0.53666,                0.54366,                0.84975,             0.00032553,             0.00032553,             0.00032553
                     80,                0.52107,                0.41621,                0.88229,                0.85753,                0.86347,                0.91134,                0.81106,                0.52228,                0.52649,                0.84821,             0.00031138,             0.00031138,             0.00031138
                     81,                0.53848,                0.43504,                 0.8944,                0.86266,                0.88555,                0.92362,                0.79123,                0.61569,                0.48083,                0.87049,             0.00029723,             0.00029723,             0.00029723
                     82,                0.54056,                0.40921,                0.89045,                0.81533,                 0.8537,                0.88661,                0.78466,                0.55047,                0.57879,                0.85505,             0.00028308,             0.00028308,             0.00028308
                     83,                0.53662,                0.41441,                0.89124,                0.83891,                0.85435,                0.89838,                0.79215,                0.55585,                0.53266,                0.85891,             0.00026894,             0.00026894,             0.00026894
                     84,                0.52222,                0.40917,                0.88522,                0.83417,                0.89445,                0.91876,                  0.815,                0.52381,                0.47678,                0.84826,             0.00025479,             0.00025479,             0.00025479
                     85,                0.51832,                0.40745,                 0.8827,                0.84443,                0.89256,                0.90946,                0.82328,                0.48517,                 0.4855,                0.83709,             0.00024064,             0.00024064,             0.00024064
                     86,                0.50862,                0.38629,                0.87848,                0.85941,                0.86952,                0.90624,                0.79463,                0.55958,                0.50478,                0.85557,              0.0002265,              0.0002265,              0.0002265
                     87,                0.51735,                0.40202,                 0.8799,                0.85389,                0.87605,                0.90832,                0.80888,                0.53141,                0.50838,                0.85051,             0.00021235,             0.00021235,             0.00021235
                     88,                0.50494,                0.38389,                0.87577,                0.84105,                 0.8611,                0.89627,                0.80705,                0.50011,                0.52085,                 0.8428,              0.0001982,              0.0001982,              0.0001982
                     89,                0.51219,                0.39164,                0.87738,                0.85319,                0.88879,                0.91698,                 0.8222,                0.51491,                0.47005,                0.84764,             0.00018406,             0.00018406,             0.00018406
                     90,                 0.5088,                0.37855,                0.87644,                0.86137,                0.87938,                0.91445,                0.82941,                0.48443,                0.45896,                 0.8388,             0.00016991,             0.00016991,             0.00016991
                     91,                0.52644,                0.38586,                0.88882,                0.83984,                0.88096,                0.90921,                0.81685,                0.50192,                 0.4746,                0.84182,             0.00015576,             0.00015576,             0.00015576
                     92,                0.51075,                0.37932,                0.88647,                0.85586,                0.87459,                0.90809,                0.81952,                0.49227,                0.52262,                0.83914,             0.00014161,             0.00014161,             0.00014161
                     93,                0.50061,                0.37282,                0.87297,                0.87974,                0.89103,                0.92303,                0.83093,                0.49844,                0.46071,                0.84091,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.5015,                0.36428,                0.88284,                0.86289,                0.88234,                 0.9164,                0.83022,                0.48558,                0.47294,                0.83741,             0.00011332,             0.00011332,             0.00011332
                     95,                0.49889,                0.37571,                0.88279,                0.86658,                0.87905,                 0.9233,                0.83305,                0.49738,                0.45703,                0.83947,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.49976,                0.36411,                 0.8798,                0.85861,                0.89175,                0.92359,                0.83762,                0.49036,                 0.4508,                0.83791,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.49953,                0.36745,                 0.8807,                0.85276,                0.90499,                 0.9194,                0.82873,                0.49637,                0.46087,                0.83918,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.49242,                0.36452,                 0.8761,                 0.8661,                0.87812,                0.91382,                0.82457,                0.49817,                0.47265,                0.83961,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.48825,                0.35204,                0.87846,                0.86618,                0.87959,                0.91062,                0.82411,                0.49114,                0.48031,                0.83818,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.49339,                0.35432,                0.88107,                0.86144,                0.88894,                0.91244,                0.82617,                0.49085,                0.46942,                0.83784,             2.8437e-05,             2.8437e-05,             2.8437e-05
